ID,urgency,category,complaint
278,Urgent,Infrastruktur,"Jalan rusak di wiyung pratama siapa yang tanggung jawab. Tipe jalan paving menuju jalan utama dari balas klumprik menuju wiyung, surabaya. Banyak batu yang keluar dari medan jalan, sangat membahayakan penguna pengendara termasuk kami, velg pecah dan lain². Mohon tindakanya menganti jalan dengan tipe aspal maupun apa, karena jalan tersebut menuju smpn 34 dan smpn 59"
279,Urgent,Keamanan dan Ketertiban,"Mohon di bantu tukang parkir liar di indomaret terlalu banyak, lokasi ada di indomaret diponegoro pas di samping hotel diponegoro. Pada tgl 24 nov 2023 malam sekitar jam 18:00 saya mampir untuk tarik tunai di atm yg ada di indomaret tersebut. Setelah selesai saya kembali ke parkiran dan saat itu ada mas” yg gk mau bayar parkir karena tidak ada uang kecil saya lihat ada 2 org tukang parkir liar yg menggunakan rompi sisanya 4 org tidak tetapi ikut narik uang parkir. Mas” tadi di biarkan oleh tukang parkir yg mau narik uang tetapi teman” yg lainnya tidak terima dan mengancam kalau mas tadi balik lg ke situ bakalan di usir dan gk boleh ke sana lg. Mohon di bantu tertibkan karna di sana terlalu rawan soalnya tukang parkir liarnya banyak untuk 1 indomaret itu bisa sampai 6 org."
280,Not Urgent,Pemukiman dan Perumahan,Tolong ya mobil dinas nya jangan parkir di rumah orang. Udah berkali-kali loh ya.. saya sabar aja. Eh malah ngelunjak. Malu maluin plat merah loh yaaaa... trims
281,Not Urgent,Sosial dan Kesejahteraan,"Selamat siang izin mengadukan Bahwa di EJSC JATIM Bakorwil V Jember wifinya mengalami gangguan dan koneksi internetnya sangat lemot tolong diperbaiki, selain itu ACnya kalo siang ga kerasa sama sekali sepertinya rusak, minta tolong diperbaiki agar anak2 muda yang disini bisa berkarya dengan lancar"
282,Urgent,Kesehatan,"Assalamualaikum, mohon bantu nya terkait meninggalnya anak saya di Ruang Nicu Di RSSA Malang, Kronologis kejadian pukul 18.00 tgl 10-11-2023 Siang hari anak saya terlihat bisa saja dan aktif dan mampu minum air Asi ibu sebanyak 6 ml, di jam 18.00 warna kulit anak saya berubah putih pucat,pihak dokter mengatakan tidak bisa bernafas, sebelumnya dokter mengatakan selang ventilator oxsigen anak saya yang masuk ke mulut menuju ke paru-paru di copot dan di ganti selang oksigen hanya sampai ke hidung, dan Diagnosa dokter bertambah terus sebelum anak di rawat di RSSA Tidak Memiliki keluhan pendarahan di lambung,setalah di dirawat di RSSA terjadi pendarahan di lambung,dan selang yang masuk ke mulut selang asupan asi keluar darah,saya minta di ganti yg baru juga tidak di ganti, yang sesalkan kenapa petugas medis lengah mengawasi anak saya.kalau tidak lengah ini semua tidak akan terjadi, anak saya usia 13 hari hanya memiliki keluhan sesak nafas tapi diagnosa dokter satu dan yang lain berbeda, mhn bantuan nya di tidak lanjuti keluhan saya."
283,Not Urgent,Keamanan dan Ketertiban,"Kejadian di apartemen Linden Surabaya. Saya disana sedang melakukan bersih bersih di apartemen namun saat mau keluarin motor udah ditungguin tukang parkirnya saya kasih 2000 tapi malah minta 5000 dan pada saya tanyakan parkirnya resmi? tukang parkirnya diam saja tapi malah nyolot sempat cekcok bentar, saya masih mau ngasih uang parkir 2000 tapi malah gamau dan saya malah di hadang sama temennya dua orang, sekian terima kasih"
284,Not Urgent,Pelayanan Publik,"Terkait fiktifnya bangunan hingga diberitakan oleh media brilian-news.id di Kabupaten Lumqjang, Hingga saat ini pihak terkait tidak melakukan tindakan dengan transparan. seolah olah tidak ada apa apa https://brilian-news.id/2023/09/13/penerapan-sistem-dinasti-desa-alun-alun-diduga-menjadi-hilangnya-anggaran-dana-desa/"
285,Urgent,Sosial dan Kesejahteraan,Kepada yth: ibu gubernur damn bapak wakil gubernur.saya ingin minta bantuan PBI dan bantuan sosial. Sebab istri dan orang tua saya sakit struk.pekerjaan saya hanya seorang pemulung dan saya tidak pernah tersentuh bantuan apapun dari dinas manapun. Nama: imam soliki ALAMAT:Lingkungan jatisari rt02 rw 07.kademangan.kab.BLITA
286,Urgent,Pendidikan,Mempertanyakan lagi perihal sekolah SMA/SMK yang gratis Tapi kenapa masih ada pungutan pungutan yang bernama sumbangan di LAMONGAN Tepatnya di SMK NEGERI 1 LAMONGAN
287,Urgent,Pendidikan,Melaporkan tindakan pungli berkedok SUMBANGAN SUKARELA yang dilakukan oleh salah satu SMPN 2 KAUMAN PONOROGO . Bukankah pendidikan 9 tahun di jamin pemerintah? Dan bukan kah infrastruktur sekolah di bangun oleh pemerintah? Kenapa pembangunan sekolah non program pendidikan di bebankan ke siswa?
288,Urgent,Infrastruktur,"Mohon segera perbaiki Lampu PJU Tenaga Solar yang Berlokasi di DSN SUWALUH RT 03/05 DS SAMBIREJO Kec.Pare Kabupaten Kediri Jatim,... Lampu PJU Tenaga Solar sepanjang jalan Kediri - Pare sudah Off sudah 1 Tahun Lebih,.... Sangat Eman sekali kalau Negara sudah ngasih infrastuktur tapi tidak ada maintanance continue-nya"
289,Urgent,Lingkungan,"Di desa mergober rt 4 rw 1,kecamatan tari,kabupaten sidoarjo ada pabrik tempe kecil-kecilan. Usaha ya boleh-boleh saja usaha. Tapi limbahnya dibuang dalam got yang tidak mengalir dan mengendap berhari-hari,berbulan-bulan. Pabriknya sudah ditegur 2x tapi tidak digubris. Alasannya tidak bau. Dia tidak kebauan karena tidak tidak pernah mencium bau itu tapi orang lain yang kena imbasnya. Tetangga saya sampai bolak-balik masuk rumah sakit gara-gara limbah tersebut baunya menyebar kemana-mana. Mana banyak jentik-jentik nyamuk demam berdarah pula. Lalu disebelah rumah pas ada orang pelihara kambing di daerah pemukiman padat penduduk. Kalo hujan kencingnya baunya kemana-mana. Tolong segera ditindak"
290,Urgent,Sosial dan Kesejahteraan,Ini kenapa udah 17 september masih ada karnaval di desa pecoro yang bikin macet berkilo kilometer. Kenapa ngadain karnaval di jalan antar provinsi yang lalu lintasnya sangat padat. Mohon ditindak lanjuti pihak terkait yang meninzinkan dan mengadakan karnaval di desa pecor kecamatan rambipuji kabupaten jember
291,Urgent,Pendidikan,"Kepada bapak ibu yg terhormat saya minta tolong sekolah negeri yang melakukan pungutan dengan alasan sumbangan pendidikan ataupun bangunan. Agar ditindak atau diberikan sanksi yang tegas, kami sebagai orang kecil sangat keberatan. Saya mewakili teman saya untuk membuat laporan ini. Teman saya mempunyai anak yang bersekolah di SMA 1 prambon nganjuk hari ini tanggal 12 September 2023 sekolah mengadakan rapat yang membahas tentang sumbangan pendidikan dan bangunan di situs sekolah meminta sumbangan pendidikan sebesar 840 dan untuk bangunan 2 juta 400 dan untuk pembayaran LKS 220 kami sebagai orang kecil sangat keberatan atas beban biaya tersebut blm lagi pungutan2 lain. Kami orang kecil meminta keadilan dan pertolongan kepada bapak ibu. Besar harapan saya laporan ini direspon terima kasih"
292,Not Urgent,Pendidikan,Mau menanyakan sertifikat pemenang FLS2N SMA tahun 2023 tingkat kota Surabaya. Dimana kami bisa mendapatkan sertifikat tersebut? Anak say juara 2 Lomba Gitar Solo FLS2N SMA 2023 tingkat kota Surabaya Mhon diberikan penjelasan. Terima kasih
293,Urgent,Pendidikan,"Saya melaporkan beberapa masalah 1. SMA Negeri-1 Gedeg, mojokerto banyak memungut bayaran yang tidak sesuai, seperti iuran tiap bulan daniuran tidak jelas keguaanya yang nominalnya lumayan besar sekitar 1 juta 300 ribu rupiah 2. Dindik JATIM tidak di bisa di hubungi melalui WA, Telephone, email dan sosmed lainya Mohon ditindak lajuti, terimakasih salam"
294,Urgent,Pendidikan,"Dengan hormat, kami ingin mengajukan pengaduan terkait beberapa permasalahan yang kami temui dalam lingkungan pendidikan SDN Krian 3. 1. Adanya Pembelian LKS , dimana di awal sudah dijelaskan bahwa tidak ada pengadaan LKS tetapi kenapa akhir Agustus pihak komite malah mengadakan pembelian LKS dengan harga yg mahal kenapa tidak konsisten, Memang tidak diwajibkan tapi kalau ortu tidak beli lalu bagaimana dengan kondisi anak .Anaknya pasti kena mental. Belum lagi kalau ada PR di LKS , yg tidak punya mengerjakan darimana? 2. LKS (edisi 2018 revisi) tidak sesuai dengan buku yang di gunakan di sekolah (bupena) contoh untuk materi LKS tema 2 . Materi di bupena ada beberapa yaitu ppkn, bhs Indonesia, ips, IPA tetapi di LKS hanya ada ppkn 3. di SDN Krian 3 juga diadakan wisuda dan rekreasi Meskipun tidak diwajibkan,seolah olah wajib karena orgtua tidak bisa protes karena takut, ada beban tersendiri buat orangtua,padahal wisuda itu sesuatu yang tidak perlu untuk anak SD, rekreasi juga dengan biaya mahal dan jauh ada cek in hotel. Mayoritas di setiap kelas ada tarikan paguyuban yang nominalnya berbeda beda dari 15 ribu sampai 20 rb perbulan, fungsi uang paguyuban hanya untuk guru nya saja , misal hadiah kenang"" an akhir tahun, biaya konsumsi guru ketika renang . Nasi kotak , buah kue dll untuk guru Adanya tarikan uang kas seminggu 5 rb rupiah dimana tujuan awal pengadaan kas ini untuk anak yang khusus ikut wisuda, akan tetapi keputusan dirubah di wajibkan semua anak bayar kas baik ikut wisuda ataupun tidak ikut wisuda,lalu yg tidak ikut wisuda kenapa harus membayar kas? Setiap acara maulid nabi terlalu banyak tuntutan, misal anak diwajibkan membawa makanan sesuai ketentuan yg telah diatur . Padahal seharusnya acara seperti itu harus sukarela bukan kewajiban. Bagi saya dan hampir mayoritas wali murid merasa terbebani namun tidak bisa berbuat apa apa. demikian aduan saya dan mewakili wali murid lainnya, sekarang mohon untuk segara di tindak terimakasih..."
295,Urgent,Keamanan dan Ketertiban,"Mohon bantuan tim penindakan untuk memeriksa PJTKI PT Pancamanah Utama yang berlamat di Jl. Sunan Giri Ruko LTC B-4, Tumenggung Baru, Tumenggungan, Lamongan, Lamongan Regency, Jawa Timur. PJTKI tersebut terindikasi melakukan kegiatan perekrutan calon TKI untuk luar negeri tanpa dilengkapi perizinan perekrutan yang sah (untuk penempatan negara-negara Eropa). Terlampir tautan media sosial dan website iklan perekrutannya. Website: http://pjtki-polandia.com/perawat/ ; facebook: https://www.facebook.com/people/Global-Career-Center/100068296598230/ ; instagram: https://www.instagram.com/globalcareercenter/"
296,Urgent,Pelayanan Publik,"Permisi, saya menyampaikan aduan mengenai pelayanan dan dugaan pungli di Kelurahan Suwayuwo, Kecamatan Sukorejo, Kab. Pasuruan Hariini tanggal 5 September 2023 saya ingin mengajukan surat pengantar nikah di kelurahan tempat domisili calon suami saya di kelurahan suwayuwo, kecamatan sukorejo, kabupaten pasuruan yang dimana ternyata saya dimintain uang untuk biaya administrasi bapak mudin tersebut yang beliau katakan untuk biaya mengetik berkas saya dan uang lelah beliau. Padahal menurut saya itu merupakan tanggung jawab pekerjaan beliau yang sudah dibayarkan/diberikan upah oleh negara. Tapi kenapa saya masih dimintain uang administrasi dengan alasan untuk uang lelah dan uang mengetik beliau. Yang saya tau, bahwa di undang undang ini tidak ada uang lelah dan uang mengetik untuk mudin. Dan yang saya tau, uang administrasi kua hanya diminta sebsar 600rb dan itupun d bayarkan melalui bank pemerintahan daerah setempat. Mohon maaf, kepada bapak/ibu kemenag, dan bapak/ibu gubernur jawatimur hal ini mohon ditindak lanjuti agar jawatimur tidak ada pungli sperti ini kembali."
297,Not Urgent,Pelayanan Publik,"Hai kk saya mau aduan dong untuk pengurusan pajak 5 thn kok ga bisa di kota yang skrg kita tinggal contoh saya di Pacitan tapi plat nopol saya Surabaya, tolong dong buat samsat setempat sediakan untuk seluruh jatim biar bisa pajak 5 thn tanpa harus ke kota tujuan makasih"
298,Urgent,Sosial dan Kesejahteraan,"bu mohon bantuannya untuk beras di daerah sumenep sangat langka terutama daerah guluk-guluk kalaupun ada harganya mahal dan kualitasnya juga kurang baik, mohon dibantu bu khofifah untuk melakukan tindakan-tindakan yang perlu untuk mengatasi kelangkaan ini"
299,Not Urgent,Pelayanan Publik,"Orang mau Membayar Pajak kok di persulit. Saya di kota Lumajang, memakai kendaraan sepeda motor nomor Kediri, AG atas nama keponakan, saat membayar pajak tahunan, di mobil Cettar, di tolak karena minta KTP keponakan yang ada di Kediri, tahun sebelumnya bisa bayar pajak langsung di Mobil Cettar memakai KTP saya Lumajang. Tadi sore saya bayar di tolak dengan alasan minta KTP asli Kediri, dan menyarankan untuk bayar lewat online, emangnya mobil Cettar tidak online. Memalukan. Pelayanan model apa seperti ini ? Logikanya ga bisa diterima akal sehat, aparat macam gini jangan dipakai lagi. Warga bayar pajak harusnya di mudahkan, lha wong setor uang ke Negara kok di persulit. Terima kasih."
300,Not Urgent,Pelayanan Publik,"Halo, saya menyampaikan aduan mengenai pelayanan dan dugaan pungli di KB Samsat Krian (1) Untuk pelayanan samsat krian terutama bagian cek fisik mohon diperhatikan lagi nggih, karena setiap kendaraan yang dicek fisik itu setelah cek fisik petugasnya selalu bilang ""sampun pak/bu, seikhlase mawon"" walaupun di temboknya sudah terpampang jelas cek fisik gratis / tidak dipungut biaya tetapi tetap saja setiap yg selesai cek fisik dimintai uang dengan bahasa seikhlasnya. (2) Kemudian di loket penulisan BPKB itu dijelaskan oleh petugasnya jika mengikuti pemerintah dengan membayar PNBP sebesar 225.000 tetapi BPKB nya selesai dan dapat diambil 5 bulan lagi, namun jika ingin selesai hari ini harus membayar biaya tambahan 200.000 lagi diluar PNBP tadi. (3) nomor TNKB yang diterbitkan samsat berbeda dengan yang tertera pada STNKB dan bukti pembayaran Pajak Kendaraan dimana terdapat kesalahan 1 digit nomor TNKB. Mohon kiranya instansi terkait bisa membina petugas samsat krian agar benar-benar tidak ada pungli dan bisa berkerja dengan benar."
301,Urgent,Infrastruktur,"Jalan poros provinsi KEC. SINGGAHAN s/d KEC. JATIROGO KAB. TUBAN, banyak yang bergelombang sangat parah dan lubang, setiap diperbaiki belum sampai 2 bulan sudah ambles kadang perbaikan itupun tidak rapi, sehingga cepat rusak kembali,, mohon untuk beberapa titik yang memang membutuhkan kontruksi cor untuk di cor karena ketika di hotmix tetap saja rusak kembali karna tanah gerak,, lalu beberapa titik jalan perlu perluasan karena kondisi saat ini jalan tersebut juga sering dileawati truk tronton gandeng,, karena KASIHAN untuk pengendara terutama wanita, wanita hamil muda/tua yang berkerja dan orang sakit yang menuju ke RS terdekat yang melewati akses jalan tersebut."
302,Urgent,Pendidikan,"assalamualiakum bu saya siswi dari salah satu smk negri yg ada di malang, saya dengan mohon bantu an nya bu, saya bukan orang berada namun sekolah saya negri menuntut membayar uang sekolah mengatasnamakan infak, jika kami tidak membayar infak tersebut maka ijazah kami tidak bisa di ambil bu, mohon dengan sangat bantuan dan keadilan nya bu"
303,Urgent,Pendidikan,"Kewajiban pembelian seragam sekolah di sekolah SMA membebani kami para walimurid, dengan nominal 2juta bayangkan saja walimurid yang berprofesi sebagai buruh tani atau buruh harian lepas"
304,Urgent,Pendidikan,Apa benar bahwa sma negeri di Jawa Timur gratis ? Tapi mengapa sma negeri di Lamongan masih bayar SPP ratusan ribu perbulan dan uang gedung jutaan ? Mohon bantuannya untuk dikurangi karena keluarga kurang mampu cukup terbebani terkait tingginya biaya. Dan kasihan murid jika sampai putus sekolah karena terkandala biaya
305,Not Urgent,Pelayanan Publik,Saya Melakukan pengurusan peruntukan untuk kendaraan Tronton perusahaan saya. dan prosesnya memakan waktu lama sekali hampir 1 bulan. dan hal ini disebabkan karena seringnya ketidak hadiran kepala dishub Jatim di kantor untuk proses tanda tangan dokumen sehingga menumpuk2. hal ini tentunya sangat menghambat kelancaran usaha dan percepatan pembangunan. dikarenakan kinerja yang lambat dari seorang pimpinan. harap bisa di evaluasi dan di tindak lanjuti
306,Urgent,Pendidikan,"HALOO saya salah satu murid di SMKN 1 Tuban saya ingin melapor, dulu kan uang sekolah di tiadakan. Tapi sekarang disekolah saya diganti dengan namanya ""uang komite"" jujur orang tua saya merasa keberatan untuk membayar komite tersebut, saya masuk di sekolah SMKN 1 TUBAN dengan jalur ""afirmasi"" sesuai jalurnya orang yang tidak mampu, dan itupun sekolah negeri bukan swasta. Tapii di smkn saya tetap ditarik uang komite. Di SMKN 1 TUBAN, uang komite kelas 10 senilai Rp.4.000.000,00 (empat juta rupiah) jujur saya keberatan dengan adanya uang komite, padahal dulu uang sekolah sudah dihapus, sekarang uang sekolah berkedok uang komite. Tolong segera diusut ya tentang uang komite, dan kejadian ini ga berlaku di smkn saja banyak sma negeri/smk negeri lainnya diJawa timur. Tolong saya sebagai rakyat yang kurang mampu tidak sanggup jika membayar segitu banyaknya, padahal kan seharusnya uang komite juga ditiadakan. Tolong segera diusut yaa"
307,Urgent,Keamanan dan Ketertiban,Saya resah dengan parkir liar mobil di umum jalan Ber alamat Jalan kenari Lingkungan payaman rt03 rw02 kel. Giri kec. Giri kab banyuwangi. Jawa timur Tolong di tindak. Saya sudah lapor di rt rw sampai keluhan gk ada tindakan. Orang udah parkir di jalan udah 3 thn lebih
308,Urgent,Infrastruktur,"Tolong itu jalan di dalam Rumah Sakit Menur Rusak kok di biarkan saja? Padahal posisinya tepat di jalan Utama Rumah Sakit, dan sudah berhari-berhari diperhatikan tidak ada perbaikan padahal rusak parah, malah ditutupi oleh plat besi. Mana besinya itu sering nyangkut ke mobil pasien yg mau berobat ke Rumah Sakit Menur, dan sering nyangkut dimobil sehingga bisa membuat Rusak Mobil, apa perlu ada tututan perdata baru mau dibenerin?? Ini berbanding terbalik dengan gedung Megahnya RS Menur tp Jalannya Rusak, padahal baru di Resmikan Gedung Megah RSnya oleh Ibu Gubernur. Tolong segera perbaiki, apa jangan-jangan anggarannya ditilep??"
309,Not Urgent,Pelayanan Publik,"Selamat Malam Bapak/Ibu, Saya mohon izin melaporkan tindakan tidak menyenangkan dari salah seorang staff PPDB Jatim yang tidak saya ketahui identitasnya. Saya hubungi di nomor berikut: 0811-3110-8882. Saya menyampaikan 2 pertanyaan yang saya rasa sudah saya sampaikan dengan se-sopan mungkin. Tetapi saya mendapatkan jawaban yang tidak mengenakkan, menurut saya menjawab ribuan peserta bukan merupakan sebuah pemakluman untuk menjawab dengan ketus. Mohon ditindaklanjuti, saya kecewa dengan pelayanan yang diberikan. Tidak ada permintaan maaf dari pihak Call Center PPDB Jatim. Saya harap hal ini dapat ditindaklanjuti dan menjadi koreksi bagi Pemprov Jatim, khususnya Panitia PPDB Jawa Timur. Terima kasih"
310,Urgent,Pendidikan,Assalamualaikum...mohon maaf ibu...mau melapor bahwa BPOPP sekolah swasta kab Bojonegoro sampai saat ini belum cair...padahal BPOPP ini sangat penting dan di harapkan oleh teman2 sekolah swasta untuk operasional
311,Urgent,Kesehatan,"Halo, tolong dong pemerintah jatim atau pihak terkait. Saya memohon untuk disediakan freezer setiap kamar 1 saja untuk ibu menyusui di RSUD Dr.Soetomo. Kasihan untuk penunggu saudara yang sakit tapi sedang menyusui tidak bisa menyimpan asinya. Dan menahan asi itu sakit. Tolong dipertimbangkan"
312,Urgent,Kesehatan,"Sejak 31 mei 2023 saya nakes rsud kabupaten kediri di phk gara2 gk punyak kenalan orang dalam, saya nakes warga biasa hanya bisa bekerja sesuai kopentensi saya, sudah nganggur 13 hari gk punyak kerjaan keluarga di kasih makan apa pak, tolong nakes warga biasa pak, tolong bu gurbernur berantas mafia di rsud kabupaten kediri, saya hanya ingin bekerja sesuai ke ahlihan saya pak, sebagau nakes yang baik, tolong pak gurbernur Tolong saya pak saya hanya nakes biasa dan warga biasa miskin di phk gara2 gk punyak kenalan orang dalem yang bekerja di rsudkabupaten kediri, tolong saya pak hanya ingin bekerja dan untuk keluarga Tolong pak bupati katanya tidak ada phk masal, ini ada phk masal tenaga nakes, sudah menjadi relawan gugus tugas covid 19, sekarang di putus begitu saja, Menjadi gugus tugas mulai 2021 hingga mei 2023 sekarang di buang begitu saja, hanya kalah sama orang dalam, gk punyak krnalan orang dalam yang kerja di di rskk, tolong berantas mafia2 ini pak, perhatikan kelurga nakes, perhatikan orang kecil, berantas mafia di rsud kabupaten kediri, bukan berantas nakes yang orang biasa, hanya bisa berharap untuk melaksanakan kewajiban sebagai nakes yang berilmu, dan menerapkan ilmunya sebagai tenaga kesehatan yang baik, #berantasmafiaRSKK"
313,Not Urgent,Pendidikan,"Saya mahasiswi semester 2 ingin mengajukan beasiswa untuk kuliah saya apakah bisa? saya berasal dari keluarga yang kurang mampu, saat ini orang tua sedang mengalami kesulitan untuk membiayai pendidikan saya"
314,Urgent,Pendidikan,Saya anak yang kurang mampu . Saya hidup berdua dengan kakak saya. Saya mau masuk smknegri . Kendala saya tidak ada biaya. Saya sama kakak saya bisa makan alhamdulillah. Dulu saya mempunyai skm dan pip katanya sudah tidak berlaku. Saya memoho untuk pihak yanng terkait dpt membantu saya
315,Urgent,Infrastruktur,Saya ingin mengadukan ttg jalan desa kami yg selama ini tidak tersentuk pembangunan dalam kata lain perbaikan sehingga tadi pagi mengalamu kerusakan hingga berlubang yg sangatbdalam sehingga tidak bisa dilalui kendaraan dan mengakibatkan kegiataj warga terganggu
316,Not Urgent,Sosial dan Kesejahteraan,"Saya seorang janda memiliki 2 anak dan saya hanya bekerja buka usaha depan rumah , tahun 2022 lalu saya dapat BLT-BBM dri Kantor Pos. Mengapa tahun 2023 ini saya belum juga dapat bantuan , banyak artikel bhwa BLT telah cair ,, mohon bantuan buat bayar sekolah anak, membeli susu utk anak bayi saya dan juga kebutuhan sehari"" saya... Tolong bantuannya Bapak/Ibu"
317,Urgent,Infrastruktur,"Minta tolong di perhatikan, Jalanan di area sini sudah hampir 2 tahun kondisinya seperti jalan yg ada di lampung , berlubang , sepanjang jalan. Berbahaya bagi pengendara dan minimnya penerangan di malam hari. Kondisi jalan sangat sering dilalui oleh warga."
318,Urgent,Infrastruktur,"Kepada Instansi terkait, Mohon ijin melaporkan adanya jalan rusak yang tak kunjung diperbaiki yg sudah terjadi lebih dari 2 tahun, lokasi tepatnya berada di Jl Dusun Losari, Jamuran, Sukodadi, Kec. Wagir, atau di titik google map berikut (https://goo.gl/maps/ufrdas2Drbz19bdAA). Lampu penerangan di lokasi tersebut juga padam semua, sehingga sangat berbahaya terutama jika melintas pada malam hari. Saya sudah beberapa kali lapor melalui lapor.go.id dan melalui https://suratwarga.malangkab.go.id , namun tidak ada tindak lanjut. Saya mohon dengan sangat, agar pemerintah provinsi dapat membantu untuk memperbaiki kondisi jalan tersebut atau membantu menegur pemerintah daerah agar dapat bergerak melakukan perbaikan. Atas perhatianya saya ucapkan terima kasih."
319,Urgent,Infrastruktur,"Mohon maaf aduan dari warga sekitar mengenai jalan berlubang di Jl. Raya Ponorogo - Madiun, depan SPBU sangen, untuk segera ditindak lanjuti. Dikarenakan sudah menyebabkan laka pengendara sepeda motor jatuh dan mengganggu perjalanan. Terimaksih atas perhatiannya untuk segera ditindak lanjuti"
320,Urgent,Infrastruktur,"Kepada pejabat yang berwenang, mohon bantuannya terkait dampak pasca perbaikan jalan yang tidak professional di sekitar Jl. Raya Pasar Ngenthak (Ds. Dayu, Kec. Nglegok, Kab. Blitar, Jawa Timur), koordinat terlampir pada tautan Google Maps di bagian dokumen lampiran. Oke, konteksnya di sini saya bukan lulusan Teknik Sipil, namun saya tidak bodoh-bodoh amat terkait hal seperti ini. Kronologi: Sebelumnya jalan ini sudah rusak dari sebelum pandemi Covid 2019, kian lama tidak kunjung ada perbaikan dan semakin parah. Hingga akhirnya sekitar akhir tahun 2022 ada perbaikan jalan dengan metode ditumpuk dengan beton (ditumpuk ya, bukan aspal yang lama digali dan diganti dengan beton). Saya kurang paham kenapa pihak eksekutor memperbaiki dengan cara menumpuk dengan beton, sehingga tinggi jalan yang sekarang lebih tinggi dari jalan sekitarnya dan wilayah pemukiman warga pastinya. Akibat dari tingginya jalan tersebut, ketika hujan deras air mengarah ke rumah warga sekitar (ke samping jalan) sehingga pernah membanjiri rumah, pun hingga merobohkan satu bangunan semi permanen yang ada di sekitar jalan tersebut. Akibatnya pemilik rumah (bangunan yang lain) harus membuat batas pembendung air (yang ternyata pembatasnya masih kurang tinggi juga nih) untuk mencegah air masuk ke dalam area rumah. (Ya tapi masa harus warga yang bikin sendiri? Ini kan akibat dari aktivitas resmi perbaikan jalan). Setiap setelah hujan deras pemilik rumah harus membersihkan lumpur yang terbendung di depan rumah setelah perbaikan ini. (Ya masa harus dibersihin terus abis hujan? Banyak lo lumpurnya hei) Pertanyaannya, apakah kontraktor/konsultan tidak memperhitungkan dampak pasca perbaikan? Apakah se-tidak professional ini pekerjaan dari pemerintah? Harus banget diviralin dulu? (Ini saya masih pakai cara baik2 ya, tapi kalo ga kunjung diperbaikin dan minta pakai metode viral dulu ya gatau ya, takutnya nanti dikulit2in sampai pejabatnya lo sama netizen, kayak yang udah2 hehehe) Setelah perbaikan dan ada dampak tersebut dari salah satu anggota DPRD Kabupaten Blitar (sebut saja Y) menjanjikan bahwa akan dibangun got/saluran air (kurang tau pasti yang akan membangun siapa dan menggunakan dana dari mana) namun hingga kini juga belum ada realisasinya. Mohon pihak berwenang segera memberi tindakan, apabila ini bukan wewenang Pemerintah Provinsi Jawa Timur, mohon bawahannya pada daerah tingkat 2 (Kabupaten Blitar pastinya, ntah Bupati/Dinas terkait yang sama sekali tidak cekatan dalam memperbaiki infrastruktur jalan untuk segera ditegur, masa nunggu viral dulu yekan?) Terima kasih."
321,Urgent,Infrastruktur,"Pak tolong cek jalan di desa Jambal RT 17 RW 02 desa krebet Pilangkenceng kab Madiun Caruban. Jalan yg mengarah ke karang jati dan skitara dusun jambal desa krebet belum di aspal pdahal itu trmasuk jalan utama/jalan besar bukan gang kecil. Kalau musim kemarau bnyak debu beterbangan yg mengakibatkan polusi udara pengendara lain,kalau musim hujan banyak berlobang dan genangan yg membahayakan pengendara. Tlong sekali lagi check dan mhon segera utk pengajuan perbaikan . Kami kesulitan menghubungi kantor desa jadi terpaksa saya lapor disini. Saya selaku pengguna jalan aktif disini. Mohon utk diajukan perbaikan jalan sini.trima KSH dan mhon maaf lahir bathin."
322,Urgent,Sosial dan Kesejahteraan,"Kepada yth:ibu gubernur dan bpk.wakil gubernur yang saya hormati... Saya ingin melaporkan bahwa di desa saya. Tepatnya lingkungan jatisari rt01 rw 07 kademangan kab.blitar ada warga yg kurang mampu.dan terkena kanker ganas.atas nama ibu WASINGATUN.beliau benar"" membutuhkan bantuan dari pemerintah seperti PBI (BPJS Pemerintah) saya mohon untuk di tindak lanjuti secepatnya dari dinas setempat. Terima kasih"
323,Not Urgent,Pelayanan Publik,Nama di KTP : Sanijah Nama DI Kartu Keluarga : Sanidjah No Kartu Keluarga : 3523141003061115 Nomor NIK: 3523145604620001 No Kartu BPNT:1946 9027 6209 8277 saya ingin menyampaikan bahwa data diatas adalah benar penerima BPNT dan terjadi perbedaan nama di website DTKS yg mengakibatkan penerima manfaat tidak dapat menerima bantuan tersebut . tolong dibantu solusinya karena dalam kontek ini yg bersangkutan sudah sepuh
